File,Cloud Cover Over Land
LANDSAT_LC08_C02_T1_LC08_044018_20220220_2202203_100000_1645382384389.tif,0.25
LANDSAT_LC08_C02_T1_LC08_048023_20181019_1096631_100000_1539975977078.tif,0.35
LANDSAT_LC08_C02_T1_LC08_042018_20211001_406QLD0_100000_1633112862692.tif,1.61
LANDSAT_LC08_C02_T1_LC08_041018_20170812_406QLD0_100000_1502562072233.tif,0.83
LANDSAT_LC08_C02_T1_LC08_057014_20200820_2201401_100000_1597953511390.tif,0.9
LANDSAT_LC08_C02_T1_LC08_041019_20240324_406QLD0_100000_1711304474455.tif,0.32
LANDSAT_LC08_C02_T1_LC08_044018_20160103_2202203_100000_1451846387938.tif,1.8
LANDSAT_LC08_C02_T1_LC08_041019_20210127_406QLD0_100000_1611771702348.tif,1.83
LANDSAT_LC08_C02_T1_LC08_057014_20170217_2201401_100000_1487361503329.tif,4.13
LANDSAT_LC08_C02_T1_LC08_042018_20211102_406QLD0_100000_1635877666265.tif,0.05
LANDSAT_LC08_C02_T1_LC08_041019_20230202_406QLD0_100000_1675362116959.tif,0.2
LANDSAT_LC08_C02_T1_LC08_058013_20150526_2201401_100000_1432670598615.tif,1.55
LANDSAT_LC08_C02_T1_LC08_042024_20150307_3031092_100000_1425752965737.tif,4.51
LANDSAT_LC08_C02_T1_LC08_044018_20150524_2202203_100000_1432492726299.tif,0.08
LANDSAT_LC08_C02_T1_LC08_058014_20150323_2201401_100000_1427141050869.tif,2.92
LANDSAT_LC08_C02_T1_LC08_041018_20220810_406QLD0_100000_1660155700190.tif,0.79
LANDSAT_LC08_C02_T1_LC08_041025_20180103_3031092_100000_1515003845573.tif,0.07
LANDSAT_LC08_C02_T1_LC08_041018_20231219_406QLD0_100000_1703010083202.tif,1.89
LANDSAT_LC08_C02_T1_LC08_037024_20230513_4022359_100000_1684000687464.tif,4.76
LANDSAT_LC08_C02_T1_LC08_041018_20170422_406QLD0_100000_1492885232688.tif,0.27
LANDSAT_LC08_C02_T1_LC08_043018_20141224_2202203_100000_1419446018161.tif,0.35
LANDSAT_LC08_C02_T1_LC08_058013_20180416_2201401_100000_1523909012597.tif,0.0
LANDSAT_LC08_C02_T1_LC08_058013_20200421_2201401_100000_1587499427693.tif,3.58
LANDSAT_LC08_C02_T1_LC08_042018_20190910_406QLD0_100000_1568140055687.tif,0.01
LANDSAT_LC08_C02_T1_LC08_042018_20220310_406QLD0_100000_1646936839479.tif,0.0
LANDSAT_LC08_C02_T1_LC08_041019_20150924_406QLD0_100000_1443118893559.tif,2.1
LANDSAT_LC08_C02_T1_LC08_037024_20140925_4022359_100000_1411667935279.tif,0.77
LANDSAT_LC08_C02_T1_LC08_044018_20170105_2202203_100000_1483641594514.tif,2.31
LANDSAT_LC08_C02_T1_LC08_041019_20240628_406QLD0_100000_1719598851268.tif,0.03
LANDSAT_LC08_C02_T1_LC08_037025_20130704_4022359_100000_1372960873091.tif,1.83
LANDSAT_LC08_C02_T1_LC08_042024_20150408_3031092_100000_1428517746777.tif,3.6
LANDSAT_LC08_C02_T1_LC08_044018_20130416_2202203_100000_1366137691416.tif,0.99
LANDSAT_LC08_C02_T1_LC08_058014_20210408_2201401_100000_1617912262601.tif,0.66
LANDSAT_LC08_C02_T1_LC08_041018_20170625_406QLD0_100000_1498414855627.tif,1.32
LANDSAT_LC08_C02_T1_LC08_037024_20200925_4022359_100000_1601056747801.tif,0.09
LANDSAT_LC08_C02_T1_LC08_041018_20220420_406QLD0_100000_1650478859185.tif,0.0
LANDSAT_LC08_C02_T1_LC08_041019_20150127_406QLD0_100000_1422382891328.tif,2.1
LANDSAT_LC08_C02_T1_LC08_044018_20160814_2202203_100000_1471199986143.tif,3.95
LANDSAT_LC08_C02_T1_LC08_044018_20190519_2202203_100000_1558291159598.tif,1.33
LANDSAT_LC08_C02_T1_LC08_035022_20170530_5050919_100000_1496166316253.tif,0.19
LANDSAT_LC08_C02_T1_LC08_041018_20170201_406QLD0_100000_1485973272421.tif,0.22
LANDSAT_LC08_C02_T1_LC08_042018_20141201_406QLD0_100000_1417458452372.tif,1.69
LANDSAT_LC08_C02_T1_LC08_058013_20190825_2201401_100000_1566763465309.tif,2.44
LANDSAT_LC08_C02_T1_LC08_042018_20140304_406QLD0_100000_1393957675307.tif,0.01
LANDSAT_LC08_C02_T1_LC08_044018_20221018_2202203_100000_1666118415941.tif,1.5
LANDSAT_LC08_C02_T1_LC08_044018_20150625_2202203_100000_1435257541900.tif,1.02
LANDSAT_LC08_C02_T1_LC08_057014_20190223_2201401_100000_1550951890257.tif,2.7
LANDSAT_LC08_C02_T1_LC08_058013_20190910_2201401_100000_1568145869342.tif,4.52
LANDSAT_LC08_C02_T1_LC08_042018_20150915_406QLD0_100000_1442341637080.tif,0.44
LANDSAT_LC08_C02_T1_LC08_042024_20201201_3031092_100000_1606847405276.tif,0.45
